id,radius,welldepth,lk_volume,lk_lambda
0, 2.0000, 0.1200, 14.7, 3.5
1, 2.0000, 0.1200, 8.3, 3.5
2, 2.0000, 0.0486, 23.7, 3.5
3, 2.0000, 0.1142, 22.4, 3.5
4, 2.0000, 0.1811, 30.0, 3.5
5, 2.0000, 0.1200, 18.4, 3.5
6, 1.7500, 0.2384, 4.4, 3.5
7, 1.7500, 0.2384, 4.4, 3.5
8, 1.7500, 0.2384, 11.2, 3.5
9, 1.7500, 0.2384, 11.2, 6.0
10, 1.7500, 0.2384, 11.2, 6.0
11, 1.7500, 0.2384, 0.0, 3.5
12, 1.5500, 0.1591, 10.8, 3.5
13, 1.5500, 0.1591, 10.8, 3.5
14, 1.5500, 0.2100, 10.8, 6.0
15, 1.9000, 0.1600, 14.7, 3.5
16, 1.7500, 0.2384, 4.4, 3.5
17, 2.0000, 0.0486, 23.7, 3.5
18, 2.0000, 0.1400, 14.7, 3.5
19, 1.5500, 0.1591, 10.8, 3.5
20, 1.9000, 0.3182, 14.7, 3.5
21, 0.1000, 0.0500, 0.0, 3.5
22, 0.7000, 0.0500, 0.0, 3.5
23, 0.7000, 0.0500, 0.0, 3.5
24, 0.1000, 0.0500, 0.0, 3.5
25, 1.4000, 0.0500, 0.0, 3.5

